Plate no,Price
299771,400
664999,2950
28682,4800
111517,2200
676866,650
675765,450
600062,5500
1287,12900
555528,5300
666670,9500
4390,12800
574444,7900
411117,10500
599994,8800
521999,1000
679996,2200
35165,450
258558,600
600113,680
7409,10900
8005,37000
666620,8300
444467,6300
444476,5500
666647,6350
5977,18000
388858,1280
607997,400
600975,350
272008,450
660119,470
364777,550
229020,550
100608,600
677607,650
600112,650
435999,700
96080,1240
95527,480
209911,970
676606,950
204024,690
151217,380
232374,340
369595,320
333678,750
410777,750
56782,900
19737,950
19788,1000
12158,650
14183,550
12732,550
17357,550
13617,450
65580,850
57850,750
54099,999
70663,710
76330,710
89805,650
83809,650
56706,650
79811,950
76411,650
663603,420
229020,550
676543,690
131353,900
184884,900
664461,825
676867,1050
676167,950
676367,880
676467,750
676636,650
676696,800
669692,650
675577,800
456566,900
83699,650
42599,650
56844,550
72933,520
61884,550
56229,550
99138,650
55461,550
42263,550
52241,500
19492,900
62325,600
47679,570
63959,550
74898,550
84171,550
82876,620
43482,550
84827,550
61736,390
67246,390
16197,850
13208,350
343348,650
258558,600
533559,650
655166,700
667656,650
676566,650
676866,650
676166,560
676878,700
676575,850
535939,550
676674,460
676673,480
310200,950
655100,900
655700,800
662500,750
661009,650
660119,470
100608,600
670880,500
400345,415
660779,450
673009,750
663002,550
667002,550
272008,450
671600,490
272400,490
600975,350
600423,290
8305,10700
674666,1070
672727,1700
265556,2000
460001,2300
676367,850
5027,10800
6509,12500
9806,11600
7629,9500
9608,12200
675776,480
664996,650
557335,550
664746,360
637673,600
569659,550
675765,450
375337,380
644674,350
669363,325
610107,950
610108,900
660073,650
510045,550
250065,500
600113,650
600301,650
600302,650
666268,950
611109,1050
133308,850
666140,770
666480,550
111396,600
435999,700
111048,750
111479,600
444067,550
411193,650
175558,465
233385,600
299953,570
666207,470
411988,600
411993,550
333758,350
667911,800
364777,550
672244,500
675544,550
669951,550
669974,470
668807,550
661104,550
668819,420
667719,470
665833,350
664225,340
664118,340
567373,450
675959,340
678785,425
673731,270
6509,12500
1647,11950
6945,10950
8557,17500
7678,18500
8108,20500
1493,11950
9785,9500
7629,9400
9652,9500
4245,14800
50445,2500
2130,14800
50445,2900
654555,2300
38377,2800
3209,10500
2568,8800
671117,2700
225822,1800
521999,850
666289,400
575788,1200
89194,700
667007,1800
25572,1800
66009,6900
46996,2800
609779,400
660609,1300
660906,1300
8704,9900
2779,18000
31663,2300
9805,9600
4620,12500
5027,10800
4078,11200
4630,11500
87555,5900
1394,11900
669399,850
545040,1400
24666,8000
23666,8000
9311,25000
6411,25000
3220,30000
3431,16500
622269,1750
9005,34000
7629,9900
9785,9900
7634,9900
5744,16800
232425,1550
664466,26000
139999,12800
7363,17700
90045,2000
110411,4750
7229,18000
662111,3000
288228,8500
79008,1800
80744,650
83699,650
234911,650
610107,950
644674,350
675557,2200
477775,11000
88861,5700
88863,5500
665544,16500
459954,3600
3040,50000
69699,30000
8885,65000
272008,450
656666,30000
600010,10000
40820,1200
44495,5500
65554,8200
20092,3900
72672,3900
26264,3200
12188,3200
97966,2800
38377,2800
39344,2800
84866,2800
64884,2800
59954,2800
19331,2650
89668,2500
69556,2400
22526,1900
64565,1900
76654,1900
45774,1800
48010,1750
20064,1750
89003,1750
33473,1550
22852,1550
65090,1550
38070,1550
30980,1450
30950,1450
28424,1200
65580,850
28997,800
76411,650
33267,600
76092,500
330930,780
660906,1300
676706,1200
676067,1200
676606,950
677607,650
661061,950
660640,850
605660,650
272072,650
204024,690
229020,600
131353,900
139313,1080
661441,1300
665335,1000
664461,850
676967,980
676367,880
676467,750
676636,600
676696,800
669692,650
677662,800
675577,800
456566,900
554546,550
343348,650
258558,600
533559,650
296262,750
331393,550
655166,700
667656,650
676566,650
676866,650
676166,600
676575,850
676878,700
535939,550
664996,650
557335,550
637673,600
569659,550
610107,950
610108,950
660073,650
510045,550
600113,650
310200,950
302900,450
109701,850
600301,650
600302,650
100608,600
670880,500
661009,650
673003,750
663002,550
667002,550
655100,900
655200,800
655300,800
655700,800
644700,800
633500,800
662500,750
674700,600
493444,1250
674666,1100
666596,1200
222462,1200
555425,1200
666416,1100
222628,1100
333538,1100
666268,950
601119,1200
611109,1050
333678,750
111048,750
111479,600
444067,550
411193,650
233385,550
299953,600
521999,1000
561999,1000
674999,900
435999,700
364777,550
666704,600
666520,600
666480,550
122775,600
411988,600
411993,550
671133,600
675544,550
665541,750
665549,750
667781,750
228807,750
223307,600
668807,550
661104,550
667911,850
466911,650
660119,470
660779,480
250065,500
675776,480
676673,480
676674,500
663603,430
675765,450
375337,370
644674,350
669363,325
669951,550
669974,490
672244,500
668819,450
667719,470
664482,450
666207,480
333758,350
665833,350
664225,340
664118,340
675959,340
369595,320
671600,490
272400,490
272008,450
609779,400
300480,500
400345,450
600975,350
600423,292
676754,450
232374,350
617997,319
66009,6900
65554,8200
50503,5300
91114,9500
40707,6500
49996,7350
16663,6500
70444,6100
27333,5900
87555,5900
84777,5800
92555,5400
94447,5850
88835,5500
55020,3500
13232,6700
88955,4500
66441,3500
20092,3900
33703,2300
64114,2700
89002,1800
89003,1750
20064,1750
44432,8400
634436,3600
25626,1200
54011,970
662442,1200
15741,500
444476,5500
555528,5300
333395,4840
600062,3800
333317,5700
600075,2300
111216,1900
541541,4600
672672,3600
664660,2350
660566,2300
109050,2150
301070,1800
504010,1600
330930,750
566500,3400
555008,2500
533350,2450
466911,650
272072,650
177744,1850
555722,1800
554546,550
371113,1390
443441,2100
668662,850
111612,2400
662111,3000
538,140000
527,140000
594,140000
